push,title,href,date,author
1,[好雷] 笑笑羊大電影 2: 外星人來了 ,/bbs/movie/M.1586038729.A.DB5.html, 4/05,mysmalllamb
5,[公告] 水桶 aehvtleo,/bbs/movie/M.1586042425.A.1CF.html, 4/05,ckshchen
1,[好雷] 伴護者 The Chaperone (2018),/bbs/movie/M.1586045027.A.B74.html, 4/05,mysmalllamb
49,[討論] 快銀廚房之戰以後都沒人做得出那種感覺,/bbs/movie/M.1586046072.A.957.html, 4/05,Tencc
65,[討論] 有人物極少而好看的電影嗎？,/bbs/movie/M.1586046368.A.851.html, 4/05,oylq2000
,Re: [討論] 時代雜誌選出十部'練習保持社交距離'電影,/bbs/movie/M.1586046849.A.9E3.html, 4/05,caro770880
3,[普雷] 江湖無難事,/bbs/movie/M.1586048541.A.35B.html, 4/05,aya16810
5,Re: [討論] 【中山忍】為什麼不紅?,/bbs/movie/M.1586050708.A.2C2.html, 4/05,dake
42,Re: [討論] 張震的演技,/bbs/movie/M.1586051889.A.253.html, 4/05,fawangching
X1,Re: [新聞] 「蝙蝠俠」後不願再演漫畫電影 連恩尼遜,/bbs/movie/M.1586055155.A.3BC.html, 4/05,dake
3,[討論] 第四台現在時段的電影都不錯..XD,/bbs/movie/M.1586057169.A.7DD.html, 4/05,ghostl40809
1,[請益] 搞釘修車公司 Nailed (雷),/bbs/movie/M.1586058024.A.3B9.html, 4/05,austin119
3,[無雷]《隱形人》控制的鬼魅如影隨形 ,/bbs/movie/M.1586059992.A.B75.html, 4/05,peter790928
62,[片單]  時間軸需要看完才會豁然開朗的片,/bbs/movie/M.1586060925.A.2C0.html, 4/05,jay94715
46,[討論] 大家看電影前會先來參考PTT影評嗎,/bbs/movie/M.1586061835.A.9AA.html, 4/05,assggy
11,[請益] 關於復仇者聯盟4的問題,/bbs/movie/M.1586062635.A.AC3.html, 4/05,kameaki5566
,[公告] pirachikane 水桶（解除）,/bbs/movie/M.1586064463.A.C7D.html, 4/05,hhwang
19,[討論] 當年第六感生死戀多紅？,/bbs/movie/M.1586065933.A.915.html, 4/05,kenshiloh
7,[  雷] 神鬼奇航 死無對證的一個橋段？,/bbs/movie/M.1586066000.A.144.html, 4/05,ex990000
5,[好雷] 10 Things I Hate About You,/bbs/movie/M.1586008429.A.DDB.html, 4/04,bitemebitch
7,[普雷] 白頭山：半島浩劫,/bbs/movie/M.1586008724.A.C6A.html, 4/04,vince4687
51,[討論] 時代雜誌選出十部'練習保持社交距離'電影,/bbs/movie/M.1586008907.A.496.html, 4/04,lgng66133
2,[好雷] 極速秒殺,/bbs/movie/M.1586011625.A.60A.html, 4/04,BobX
5,[討論] 兒時的點點滴滴 成人年代環境問題,/bbs/movie/M.1586012131.A.56D.html, 4/04,thouloveme
,[好雷]《拾光人生》有什麼能證明我們的存在？,/bbs/movie/M.1586012778.A.2A6.html, 4/04,benbenson12
4,Re: [新聞] 強尼戴普家暴案頻逆轉 有望回歸神鬼奇航6,/bbs/movie/M.1586013524.A.38C.html, 4/04,rpg1510
19,Re: [討論] 為什麼霸王別姬沒拿下奧斯卡最佳外語?,/bbs/movie/M.1586013864.A.B71.html, 4/04,dodobaho
4,[新聞] 黑寡婦花木蘭新檔期宣布 裘莉漫威片延明年,/bbs/movie/M.1586015584.A.F0F.html, 4/04,hvariables
66,[新聞] 只看一部漫威電影，你會推薦？歐美網友：,/bbs/movie/M.1586016234.A.F4E.html, 4/05,CYKONGG
3,[好雷] 《間諜速成班》一招半式闖江湖,/bbs/movie/M.1586017217.A.0BD.html, 4/05,bestbamboo
,[問片] 真實故事 幫小男孩完成心願,/bbs/movie/M.1586017358.A.D9E.html, 4/05,ying1999
2,Re: [討論] 不可能任務4中一個可能很蠢的問題,/bbs/movie/M.1586018625.A.F31.html, 4/05,k1400
1,[負雷] 猛鬼大師收工沒? ,/bbs/movie/M.1586019045.A.7CA.html, 4/05,zxcvbnm2749
7,[新聞] 《史賓賽的機密任務》影評：了無新意的警,/bbs/movie/M.1586019895.A.9A2.html, 4/05,Triceratops
25,[問片] 男女主角一直錯過 最後在一起,/bbs/movie/M.1586020940.A.0BF.html, 4/05,yoyo4nima
2,[請益] 找一部電影有旋轉木馬的回憶,/bbs/movie/M.1586021757.A.05B.html, 4/05,apple1124
3,[請益] 抓住救命稻草的野獸們 (有雷),/bbs/movie/M.1586023372.A.877.html, 4/05,dobeqoo
4,"[好雷] 冰雪奇緣2-飛花滿天,落地無聲 ",/bbs/movie/M.1586024586.A.513.html, 4/05,iwillwait
,[討論] 連假必定有想重看的電影,/bbs/movie/M.1586025845.A.50F.html, 4/05,pirachikane
21,[新聞] 迪士尼、漫威公布電影新上映日期,/bbs/movie/M.1585941486.A.1C2.html, 4/04,S890127
5,[情報] Wes Anderson《French Dispatch》延期,/bbs/movie/M.1585942416.A.1E4.html, 4/04,lgng66133
5,[問片] 李奧納多的一部電影,/bbs/movie/M.1585943274.A.F1E.html, 4/04,girl456159
62,[討論] 為什麼霸王別姬沒拿下奧斯卡最佳外語?,/bbs/movie/M.1585966291.A.5D6.html, 4/04,murray5566
51,[新聞] 《蟻人3》找到編劇！《瑞克和莫蒂》作家,/bbs/movie/M.1585970016.A.2BA.html, 4/04,CYKONGG
45,[討論] 2020【Netflix必看電影】 Netflix 前十,/bbs/movie/M.1585976439.A.76D.html, 4/04,newchina
4,Re: [討論] V怪客,/bbs/movie/M.1585978419.A.C8E.html, 4/04,applegg
5,[好雷] 一級玩家 遊戲給人夢想，現實給人回憶 ,/bbs/movie/M.1585983222.A.33E.html, 4/04,jaeck
14,"[討論] 陽光普照,警察不做事嗎?",/bbs/movie/M.1585983739.A.07B.html, 4/04,Tencc
